timestamp,scenario,device_id,participants,iterations,converged,final_value,carbon_intensity,fallback_used,satisfaction_person_alice,satisfaction_person_bob,preference_person_alice,preference_person_bob
393.6511424163159,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.400000000000002,215.7071883667998,False,0.8857142857142859,0.8999999999999998,22.0,19.0
1080.7607259446195,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.37735849056604,299.56990348255096,False,0.8840970350404314,0.9016172506738543,22.0,19.0
1795.6469513332877,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.37735849056604,355.9205997786913,False,0.8840970350404314,0.9016172506738543,22.0,19.0
1868.0212925287647,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.400000000000002,184.93587059618238,False,0.8857142857142859,0.8999999999999998,22.0,19.0
2502.713175412691,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.37735849056604,263.61454038242306,False,0.8840970350404314,0.9016172506738543,22.0,19.0
3225.902986636133,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.37735849056604,262.03380772522115,False,0.8840970350404314,0.9016172506738543,22.0,19.0
3266.4995592155597,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.400000000000002,239.2508516526555,False,0.8857142857142859,0.8999999999999998,22.0,19.0
3979.547081532876,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.37735849056604,346.4772265724317,False,0.8840970350404314,0.9016172506738543,22.0,19.0
4693.1301305731895,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.37735849056604,306.97084582488753,False,0.8840970350404314,0.9016172506738543,22.0,19.0
4747.617200858461,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.400000000000002,224.04307265967867,False,0.8857142857142859,0.8999999999999998,22.0,19.0
5407.271807531709,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.37735849056604,308.067415788853,False,0.8840970350404314,0.9016172506738543,22.0,19.0
6116.369188285819,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.37735849056604,287.443089986991,False,0.8840970350404314,0.9016172506738543,22.0,19.0
6159.739452988599,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.37735849056604,258.47834071766044,False,0.8840970350404314,0.9016172506738543,22.0,19.0
6836.878875492207,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.400000000000002,231.2832022535795,False,0.8857142857142859,0.8999999999999998,22.0,19.0
7552.026026140212,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.37735849056604,330.83071505524623,False,0.8840970350404314,0.9016172506738543,22.0,19.0
7632.60917346217,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.400000000000002,220.2363662522673,False,0.8857142857142859,0.8999999999999998,22.0,19.0
8292.650033823835,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.37735849056604,301.88682231597903,False,0.8840970350404314,0.9016172506738543,22.0,19.0
8993.724715330687,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.37735849056604,274.927088681065,False,0.8840970350404314,0.9016172506738543,22.0,19.0
9078.963039960714,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.400000000000002,208.5151476284411,False,0.8857142857142859,0.8999999999999998,22.0,19.0
9729.332805497246,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.37735849056604,321.69991187775406,False,0.8840970350404314,0.9016172506738543,22.0,19.0
10443.62293418291,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.400000000000002,228.63645325559222,False,0.8857142857142859,0.8999999999999998,22.0,19.0
10500.58789768302,temperature_conflict,device_thermostat,"person_alice,person_bob",1,True,20.400000000000002,204.9928181043153,False,0.8857142857142859,0.8999999999999998,22.0,19.0
